osmid,name,amenity,city,district,street,housenumber,lat,lon
w338978656,СШ №45,school,Минск,Первомайский район,,,w338978656,53.9385817940928
n2282299912,Планета Pizza,cafe,Минск,Советский район,,,n2282299912,53.9284244
n1602252840,Великолепный экспресс,cafe,Минск,Октябрьский район,,,n1602252840,53.8779672
n1336520143,Salad Drive,cafe,Минск,Центральный район,,,n1336520143,53.9382867
n4100275800,,cafe,Минск,Московский район,,,n4100275800,53.8935725
w135423066,д/с №405,kindergarten,Минск,Заводской район,,,w135423066,53.8812666172265
n1870460922,Столовая,cafe,Минск,Фрунзенский район,,,n1870460922,53.8930661
n2591468053,Аmato Кофе,cafe,Минск,Фрунзенский район,,,n2591468053,53.875899
n305687176,Натврис Хе,cafe,Минск,Партизанский район,,,n305687176,53.91212
n1870460925,Столовая,cafe,Минск,Московский район,,,n1870460925,53.8959939
n2551845941,Масленница,fast_food,Минск,Фрунзенский район,,,n2551845941,53.9062016
n3284637903,"Учебный центр ""Далидович""",school,Минск,Фрунзенский район,улица Скрыганова,4Д,n3284637903,53.9092042
n3148781194,Суши-бар Kaiten,cafe,Минск,Советский район,,,n3148781194,53.9181742
w337515218,д/с №8,kindergarten,Минск,Ленинский район,,,w337515218,53.8437746292325
n3095533807,Белфармация А РУП Аптека №37,pharmacy,Минск,Советский район,улица Сурганова,45 к4,n3095533807,53.9256842
n278210549,БГУИР 3к,university,Минск,Советский район,,,n278210549,53.9166872
n281729008,,cafe,Минск,Первомайский район,,,n281729008,53.9126539
n3947788548,Аптека,pharmacy,Минск,Первомайский район,,,n3947788548,53.9381957
w150644475,д/с №381,kindergarten,Минск,Ленинский район,,,w150644475,53.8503685762155
w25393550,НИИПФП им. А.Н.Севченко БГУ,university,Минск,Московский район,улица Курчатова,7,w25393550,53.8372663067134
w336594923,д/с №548,kindergarten,Минск,Первомайский район,,,w336594923,53.9461709874953
n2556422366,,cafe,Минск,Ленинский район,,,n2556422366,53.8453305
n2415188252,"Столовая ""Луч""",cafe,Минск,Фрунзенский район,,,n2415188252,53.9063979
w173213934,д/с №5,kindergarten,Минск,Советский район,,,w173213934,53.9145299762909
n305683517,Секрет,cafe,Минск,Советский район,,,n305683517,53.9109794
n1870460987,Столовая,cafe,Минск,Первомайский район,,,n1870460987,53.947398
n2332474074,Кафе Исполкома,cafe,Минск,Фрунзенский район,,,n2332474074,53.9122981
n4153977989,Столичная Аптека,pharmacy,Минск,Центральный район,,,n4153977989,53.9014502
n4317973602,Кулинария,cafe,Минск,Партизанский район,,,n4317973602,53.8892517
n305680133,Zio Pepe,cafe,Минск,Октябрьский район,,,n305680133,53.8874973
w348086366,,hospital,Минск,Ленинский район,проспект Рокоссовского,134,w348086366,53.854403277448
n305674628,СШ №208,school,Минск,Московский район,,,n305674628,53.86082
n3098540640,РЭД Клен,cafe,Минск,Московский район,,,n3098540640,53.8492835
n305686385,№112,pharmacy,Минск,Первомайский район,,,n305686385,53.9485683
n281727442,Минский областной кожно-венерологический диспансер,hospital,Минск,Первомайский район,улица Петруся Бровки,7,n281727442,53.9151509
n1008196461,Vienna,restaurant,Минск,Советский район,улица Веры Хоружей,29,n1008196461,53.9218108
n991695961,Кофе Сити,cafe,Минск,Первомайский район,,,n991695961,53.934581
w395221110,СШ №101,school,Минск,Московский район,,,w395221110,53.8862695393807
w330228449,д/с №251,kindergarten,Минск,Заводской район,,,w330228449,53.8660172646277
n3575094379,QuickCafe,cafe,Минск,Партизанский район,,,n3575094379,53.9009919
w25324337,Столовая №2,fast_food,Минск,Советский район,улица Якуба Коласа,18,w25324337,53.9229317071449
n639753866,Terra Pizza,cafe,Минск,Первомайский район,,,n639753866,53.9227666
n305674149,ADEL N1 ООО Фарммаркет-Плюс,pharmacy,Минск,Московский район,,,n305674149,53.858636
n3332417252,36-я городская поликлиника,hospital,Минск,Заводской район,,,n3332417252,53.8413143
n654137252,News Cafe,cafe,Минск,Ленинский район,,,n654137252,53.8997062
w82621823,Лицей №2,school,Минск,Ленинский район,,,w82621823,53.8653679962367
n305685161,Аптека №21,pharmacy,Минск,Заводской район,Партизанский проспект,30 к1,n305685161,53.8774689
n305683050,Астара,restaurant,Минск,Партизанский район,,,n305683050,53.8961759
w149489579,18-я городская поликлиника,hospital,Минск,Ленинский район,,,w149489579,53.8608286534624
w332099402,д/с №116,kindergarten,Минск,Центральный район,,,w332099402,53.9135886352196
w384589550,Белорусская государственная академия авиации,university,Минск,Заводской район,,,w384589550,53.8409698924284
n4278761088,,cafe,Минск,Московский район,,,n4278761088,53.8443373
n305683541,Стом. п-ка областная,hospital,Минск,Советский район,,,n305683541,53.90854
w96675851,д/с №535,kindergarten,Минск,Фрунзенский район,,,w96675851,53.9139433461276
w173376261,д/с №20,kindergarten,Минск,Центральный район,,,w173376261,53.9153362107792
n3284315883,Шилинг,cafe,Минск,Московский район,,,n3284315883,53.8708936
n1870460955,Столовая,fast_food,Минск,Советский район,,,n1870460955,53.9144898
n305682813,Brew Bar Minsk,cafe,Минск,Ленинский район,,,n305682813,53.897715
n4167946036,,restaurant,Минск,Октябрьский район,,,n4167946036,53.8893944
w403845668,Гимназия № 29,school,Минск,Центральный район,,,w403845668,53.9085653753105
n3085893509,Белфармация А РУП Аптека №1,pharmacy,Минск,Советский район,улица Кульман,22,n3085893509,53.9241943
n920092199,Brutto,cafe,Минск,Первомайский район,,,n920092199,53.916115
n2620157830,Аптека №20,pharmacy,Минск,Первомайский район,,,n2620157830,53.9476126
n1118913422,СОЛ Минск,school,Минск,Первомайский район,,,n1118913422,53.950647
n1528861007,Кафе ФОК,cafe,Минск,Центральный район,,,n1528861007,53.9228236
n305684633,№32,pharmacy,Минск,Первомайский район,,,n305684633,53.9229042
n305679603,Стом.п-ка №5,hospital,Минск,Октябрьский район,,,n305679603,53.8876025
n3836887169,Буфет,cafe,Минск,Первомайский район,,,n3836887169,53.955231
w35817104,д/с №541,kindergarten,Минск,Московский район,,,w35817104,53.8636035782128
n2162381500,Alta Vista,cafe,Минск,Октябрьский район,,,n2162381500,53.8462866
w367804249,СШ №80,school,Минск,Московский район,,,w367804249,53.8934143751956
n3080098247,АктивМед ООО Аптека №6,pharmacy,Минск,Центральный район,улица Тимирязева,129 к1,n3080098247,53.9392839
n305684724,Казантип,cafe,Минск,Партизанский район,,,n305684724,53.90264
n2628187025,Good burger,cafe,Минск,Центральный район,,,n2628187025,53.9381773
n305682960,№36 24H,pharmacy,Минск,Центральный район,,,n305682960,53.92746
w312557132,Гимназия №31,school,Минск,Фрунзенский район,,,w312557132,53.8971716827917
n664120343,Доктор До,pharmacy,Минск,Партизанский район,,,n664120343,53.8999349
w342483610,Школа-интернат №5,school,Минск,Заводской район,,,w342483610,53.8731765019957
n888067144,Столовая,fast_food,Минск,Московский район,,,n888067144,53.8387668
n3594892546,Олимпия,restaurant,Минск,Центральный район,,,n3594892546,53.935205
n4330497193,Fast food,cafe,Минск,Советский район,,,n4330497193,53.9198886
n305684976,П-Ка Мпз,hospital,Минск,Заводской район,,,n305684976,53.88019
w168500960,д/с №499,kindergarten,Минск,Ленинский район,,,w168500960,53.8596693457532
w25327174,№1,pharmacy,Минск,Советский район,улица Веры Хоружей,,w25327174,53.9225523926086
n4347206789,You Coffee,cafe,Минск,Ленинский район,,8,n4347206789,53.8949658
n3648997243,кафе Мюнхгаузен,cafe,Минск,Первомайский район,улица Сурганова,14,n3648997243,53.9231769
n3147928016,,pharmacy,Минск,Первомайский район,,,n3147928016,53.9274794
w76437667,д/с №517,kindergarten,Минск,Первомайский район,,,w76437667,53.9343086511923
n1736684215,Ферзь,cafe,Минск,Центральный район,,,n1736684215,53.904683
w208546850,д/с №45,kindergarten,Минск,Фрунзенский район,улица Скрипникова,23,w208546850,53.893272142472
r1607087,Республиканский научно-практический центр психического здоровья,hospital,Минск,Центральный район,Долгиновский тракт,152,r1607087,53.953741823486
r64684,,school,Минск,Заводской район,улица Крупской,10,r64684,53.8610069557626
n1486110663,Кафе Оранжерея,cafe,Минск,Первомайский район,,,n1486110663,53.9161963
w335594236,"д/с №100 ""Академия детства""",kindergarten,Минск,Фрунзенский район,,,w335594236,53.9244112158686
r5563531,Гимназия №6,school,Минск,Советский район,,,r5563531,53.9344142508103
w332105211,д/с №310,kindergarten,Минск,Фрунзенский район,,,w332105211,53.9098764458706
n3483739025,Винтаж,cafe,Минск,Первомайский район,,,n3483739025,53.9476276
n4357175093,Детский сад N31,kindergarten,Минск,Первомайский район,,,n4357175093,53.9298732
n1594886939,Аптека,pharmacy,Минск,Центральный район,,,n1594886939,53.932918
n2628199699,Аптека +,pharmacy,Минск,Центральный район,,,n2628199699,53.9379905
n305686926,Планета Здоровья,pharmacy,Минск,Первомайский район,,,n305686926,53.9472043
w25429808,TerraPizza,restaurant,Минск,Первомайский район,проспект Независимости,87,w25429808,53.9229741206146
n2692561931,Август,cafe,Минск,Московский район,,,n2692561931,53.9011444
n282159097,Пятница,cafe,Минск,Советский район,,,n282159097,53.9065525
n3092884068,Белфармация А РУП Аптека №23,pharmacy,Минск,Ленинский район,улица Станиславского,32,n3092884068,53.8871074
w25324268,Поликлиника №33,hospital,Минск,Советский район,улица Сурганова,45 к4,w25324268,53.9257846084268
w25322764,Колледж Торговли,university,Минск,Партизанский район,Долгобродская улица,13,w25322764,53.8988820757374
w256588051,,school,Минск,Фрунзенский район,,,w256588051,53.8956380752346
r5886393,Детский бар,cafe,Минск,Центральный район,,,r5886393,53.9264536357945
n2621391525,Пицца Темпо на Лобанка,cafe,Минск,Фрунзенский район,,,n2621391525,53.8865863
w96688347,д/с №510,kindergarten,Минск,Фрунзенский район,,,w96688347,53.9079728066276
n1875548923,Столовая,cafe,Минск,Ленинский район,,,n1875548923,53.8857326
n281703845,Искамед №7,pharmacy,Минск,Ленинский район,,,n281703845,53.8627355
n2162340627,"Юнифарм, Аптека № 6",pharmacy,Минск,Фрунзенский район,,,n2162340627,53.890974
w336594932,д/с №215,kindergarten,Минск,Первомайский район,,,w336594932,53.9447110651878
n1618158500,Столовая МАПИД,fast_food,Минск,Фрунзенский район,,,n1618158500,53.9229617
n305686948,У Старого Мельника,cafe,Минск,Заводской район,,,n305686948,53.8479967
