osmid,name,amenity,city,district,street,housenumber,lat,lon
w171546046,д/с №420,kindergarten,Минск,Ленинский район,,,w171546046,53.8696077430904
w93265828,д/с №227,kindergarten,Минск,Партизанский район,,,w93265828,53.8866588489555
n737754564,,pharmacy,Минск,Советский район,,,n737754564,53.9323168
n2621402747,,cafe,Минск,Фрунзенский район,,,n2621402747,53.8832252
w81634426,д/с №281,kindergarten,Минск,Фрунзенский район,,,w81634426,53.8821734992366
w98291716,д/с №399,kindergarten,Минск,Фрунзенский район,,,w98291716,53.9021991425
n3098540643,,pharmacy,Минск,Московский район,,,n3098540643,53.8494079
w379355305,Музыкальная школа №18,school,Минск,Ленинский район,,,w379355305,53.8879677767612
n305682964,Зелёный Лист,pharmacy,Минск,Центральный район,,,n305682964,53.923
n3080541353,Бьютифарм,pharmacy,Минск,Фрунзенский район,улица Бирюзова,10А,n3080541353,53.9128531
w25390580,Минский государственный механико-технологический профессионально-технический колледж,university,Минск,Октябрьский район,улица Казинца,8,w25390580,53.8646078146478
n326164663,Столовая №225 БГУИР,fast_food,Минск,Советский район,улица Леонида Беды,4,n326164663,53.9304157
n1870460826,СТОЛОВАЯ N 190,cafe,Минск,Первомайский район,,,n1870460826,53.9090415
n3701051396,,cafe,Минск,Партизанский район,,,n3701051396,53.9058804
n305682754,д/с №1,kindergarten,Минск,Октябрьский район,,,n305682754,53.8914763
w371266088,Школа-интернат №10,school,Минск,Заводской район,,,w371266088,53.8572457321745
n1595405247,Планета здоровья,pharmacy,Минск,Ленинский район,улица Якубова,58,n1595405247,53.8619898
w391059842,Belvedere,restaurant,Минск,Центральный район,,,w391059842,53.9270379245281
n3951757398,С легким паром,cafe,Минск,Фрунзенский район,,,n3951757398,53.8871254
n3476098375,,cafe,Минск,Октябрьский район,,,n3476098375,53.8444588
w25387720,38-я городская поликлиника,hospital,Минск,Октябрьский район,улица Воронянского,50 к1,w25387720,53.8770467021795
n305686673,Меджел,pharmacy,Минск,Партизанский район,,,n305686673,53.8953798
n1366689206,Дом папочки,cafe,Минск,Московский район,,,n1366689206,53.8938255
n2593635880,Espresso Coffe,cafe,Минск,Октябрьский район,Бобруйская улица,6,n2593635880,53.8904107
w341667987,РНПЦ неврологии и нейрохирургии,hospital,Минск,Партизанский район,,,w341667987,53.923029965385
w77346478,,hospital,Минск,Октябрьский район,,,w77346478,53.8515438532593
n455006632,Миг,cafe,Минск,Ленинский район,,,n455006632,53.8848552
n3143415750,Танго,cafe,Минск,Первомайский район,,,n3143415750,53.9322338
n390421910,Неман,cafe,Минск,Партизанский район,,,n390421910,53.8794268
n3206003058,Искамед №31,pharmacy,Минск,Фрунзенский район,,,n3206003058,53.9116171
n917486490,Древняя легенда,cafe,Минск,Октябрьский район,,,n917486490,53.8731105
w82621653,д/с №353,kindergarten,Минск,Ленинский район,,,w82621653,53.8620420700413
w408943539,Российский государственный социальный университет,university,Минск,Заводской район,,,w408943539,53.8744682622523
n1841687563,ENZO,cafe,Минск,Ленинский район,,,n1841687563,53.8902162
n3092887836,Белфармация А РУП Аптека №25,pharmacy,Минск,Партизанский район,улица Щербакова,1,n3092887836,53.8825441
w78392852,д/с №430,kindergarten,Минск,Московский район,,,w78392852,53.8635681959119
n3877701165,Медвакс №6,pharmacy,Минск,Ленинский район,,,n3877701165,53.900415
n4335440089,Surf Coffee,cafe,Минск,Ленинский район,,,n4335440089,53.8971401
w281553162,СШ №185,school,Минск,Фрунзенский район,,,w281553162,53.9094001967548
n3946284719,ГородОк,cafe,Минск,Московский район,,,n3946284719,53.8748377
n305681079,Подвир'е,cafe,Минск,Центральный район,,,n305681079,53.9240074
n2559459898,,pharmacy,Минск,Московский район,,,n2559459898,53.8432927
w168500959,д/с №403,kindergarten,Минск,Ленинский район,,,w168500959,53.8561396757975
w358563154,д/с №294,kindergarten,Минск,Фрунзенский район,,,w358563154,53.9142448847818
w330496832,д/с №306,kindergarten,Минск,Советский район,,,w330496832,53.9254276946
n3207757442,McDonald's,fast_food,Минск,Центральный район,,,n3207757442,53.902323
n4269775294,Аптека,pharmacy,Минск,Ленинский район,,,n4269775294,53.8640935
n305676071,П-Ка Дет.№4,hospital,Минск,Центральный район,,,n305676071,53.9339
w352037533,СШ №99,school,Минск,Фрунзенский район,,,w352037533,53.9024085662507
n1118945791,Кафе Гараж (Café Garage),restaurant,Минск,Октябрьский район,,,n1118945791,53.8843024
n4164466589,26,cafe,Минск,Октябрьский район,улица Свердлова,26,n4164466589,53.8924338
n305685608,Калабрия,cafe,Минск,Первомайский район,,,n305685608,53.94321
w25319075,Экспедиция,restaurant,Минск,Партизанский район,Парниковая улица,50,w25319075,53.9164169608148
n2628639101,Аптека N12,pharmacy,Минск,Советский район,улица Веры Хоружей,19,n2628639101,53.9205057
n280032443,"Детский кафетерий ""Сказочный мир""",cafe,Минск,Фрунзенский район,,,n280032443,53.8819193
n2622446556,Столовая,fast_food,Минск,Ленинский район,,,n2622446556,53.8921644
n2605794211,"Блинная ""Масленица""",fast_food,Минск,Фрунзенский район,,,n2605794211,53.9098251
n3654159990,Столовая,fast_food,Минск,Советский район,,,n3654159990,53.9331158
n305678577,№97,pharmacy,Минск,Октябрьский район,,,n305678577,53.8798619
w292733727,д/с №222,kindergarten,Минск,Фрунзенский район,,,w292733727,53.9210262110851
w332099404,д/с №416,kindergarten,Минск,Советский район,,,w332099404,53.9182535499407
n305681889,Я ж тебе говорил!,cafe,Минск,Ленинский район,,,n305681889,53.894053
n4313224247,4 угла,cafe,Минск,Центральный район,проспект Машерова,1,n4313224247,53.9107411
n1870460841,Coffee House,cafe,Минск,Первомайский район,,,n1870460841,53.9228747
n281729007,Минский государственный художественный колледж имени А.К. Глебова,college,Минск,Первомайский район,,,n281729007,53.9126265
n604715848,Кафетерий,cafe,Минск,Заводской район,,,n604715848,53.8648014
n3142299278,Поместье,cafe,Минск,Ленинский район,,,n3142299278,53.8717388
w234882375,,kindergarten,Минск,Заводской район,,,w234882375,53.8379436334476
n3835411612,,cafe,Минск,Центральный район,,,n3835411612,53.9153357
n4269861222,Dominos,restaurant,Минск,Заводской район,,,n4269861222,53.8839786
w172541388,д/с №470,kindergarten,Минск,Октябрьский район,,,w172541388,53.8526942708774
w232373982,д/с №321,kindergarten,Минск,Советский район,,,w232373982,53.9250253010074
n3799074711,,cafe,Минск,Ленинский район,,,n3799074711,53.87219
w131113434,Детский городок Лен.района,kindergarten,Минск,Ленинский район,,,w131113434,53.8648824308206
w341164005,д/с №383,kindergarten,Минск,Первомайский район,,,w341164005,53.9551317995481
n1141268709,,pharmacy,Минск,Московский район,,,n1141268709,53.8628221
w332099411,д/с №553,kindergarten,Минск,Первомайский район,,,w332099411,53.9230230135094
w342694007,СШ №25,school,Минск,Заводской район,,,w342694007,53.8680125045014
n1011755785,,pharmacy,Минск,Московский район,,,n1011755785,53.8872096
n297201435,,pharmacy,Минск,Ленинский район,улица Маяковского,22 к1,n297201435,53.8770555
n3739036901,Papa John’s,cafe,Минск,Центральный район,,,n3739036901,53.9324696
n2600513270,Cafe Grill Netto,cafe,Минск,Советский район,Красная улица,13,n2600513270,53.913798
n765788370,Яблоко,restaurant,Минск,Советский район,,,n765788370,53.9419686
w78087678,д/с №76,kindergarten,Минск,Фрунзенский район,,,w78087678,53.8801885091278
n3268817396,Оникс,cafe,Минск,Советский район,,,n3268817396,53.9340015
w25312676,,school,Минск,Заводской район,улица Красина,65,w25312676,53.8286632323994
n2622428719,Столовая,fast_food,Минск,Октябрьский район,,,n2622428719,53.889661
w342694011,СШ №116,school,Минск,Фрунзенский район,,,w342694011,53.9145359141113
n663869493,БГУ,university,Минск,Ленинский район,,,n663869493,53.8998429
n872673378,Domino's Pizza,fast_food,Минск,Октябрьский район,,,n872673378,53.8781729
w25320648,,hospital,Минск,Партизанский район,,,w25320648,53.8882293329363
n305680158,Белорусское Бистро,cafe,Минск,Центральный район,,,n305680158,53.9112346
n305674782,№101,pharmacy,Минск,Фрунзенский район,,,n305674782,53.8974065
w271704148,д/с №108,kindergarten,Минск,Фрунзенский район,,,w271704148,53.9300236756991
w342694013,д/с №28,kindergarten,Минск,Центральный район,,,w342694013,53.9369872
n971036518,Terra pizza,cafe,Минск,Фрунзенский район,,,n971036518,53.9036645
n2886690495,,fast_food,Минск,Первомайский район,,,n2886690495,53.9392434
w147508847,д/с №211,kindergarten,Минск,Фрунзенский район,,,w147508847,53.9127017230766
w53656803,д/с №67,kindergarten,Минск,Октябрьский район,,,w53656803,53.8453154003314
n320371809,,hospital,Минск,Фрунзенский район,,,n320371809,53.8930921
n281725787,Гимназия-колледж искусств,school,Минск,Первомайский район,,,n281725787,53.9203266
n2614505266,СИНЕВО,pharmacy,Минск,Фрунзенский район,,,n2614505266,53.9074111
n1384751581,Евроаптека,pharmacy,Минск,Центральный район,,,n1384751581,53.90506
w59090862,д/с №567,kindergarten,Минск,Московский район,улица Космонавтов,39,w59090862,53.8472889259711
n443698593,Счастье здесь,cafe,Минск,Центральный район,,,n443698593,53.9039096
w39670259,СШ №163,school,Минск,Первомайский район,,,w39670259,53.9574790769813
w331602573,СШ №216,school,Минск,Центральный район,,,w331602573,53.9308987911867
n305680192,Пьер Смирнофф,restaurant,Минск,Центральный район,,,n305680192,53.9151167
n4354664501,столовая,fast_food,Минск,Первомайский район,,,n4354664501,53.9088961
w135311340,,cafe,Минск,Первомайский район,,,w135311340,53.913381431541
n3799000448,Борщ,cafe,Минск,Ленинский район,,,n3799000448,53.8767975
n3635415770,Тайм-аут,cafe,Минск,Центральный район,,,n3635415770,53.9313894
n598516467,Рандеву Le Rose,restaurant,Минск,Ленинский район,улица Маяковского,115,n598516467,53.8635516
n3020587708,Аптека,pharmacy,Минск,Фрунзенский район,,,n3020587708,53.9171069
w25326741,,hospital,Минск,Ленинский район,Казарменный переулок,3,w25326741,53.8950314
w25387908,Детская музыкальная школа искусств №7,school,Минск,Октябрьский район,Пуховичская улица,20,w25387908,53.8499940465186
w312558036,д/с №99,kindergarten,Минск,Фрунзенский район,,,w312558036,53.8830927105574
n305687064,Аптека №102,pharmacy,Минск,Заводской район,,,n305687064,53.8422758
n2600504572,Шоколада и чай,cafe,Минск,Партизанский район,,,n2600504572,53.9089287
n2831688162,Столовая № 102,fast_food,Минск,Заводской район,,,n2831688162,53.8486135
w374416744,,school,Минск,Советский район,,,w374416744,53.9588807248922
w25388726,Академия управления при Президенте РБ,university,Минск,Октябрьский район,,,w25388726,53.8866023164957
n281694144,Аптека №5 (дежурная) Белфармация РУП,pharmacy,Минск,Ленинский район,улица Маяковского,15,n281694144,53.8828204
n2831641494,Профессор Преображенский,cafe,Минск,Центральный район,,,n2831641494,53.9031892
n3909067859,Универ,cafe,Минск,Московский район,,,n3909067859,53.856692
n305681812,Старый Город,cafe,Минск,Центральный район,,,n305681812,53.90901
n2155876208,Кофейня,cafe,Минск,Центральный район,улица Освобождения,11,n2155876208,53.9055064
n923182897,Столовая Метрополитена,fast_food,Минск,Московский район,,,n923182897,53.887655
n4294249289,"Аптека 36, дежурная",pharmacy,Минск,Центральный район,,,n4294249289,53.9273051
n305684798,Планета Суши,restaurant,Минск,Советский район,,,n305684798,53.928744
w336594924,д/с №539,kindergarten,Минск,Первомайский район,,,w336594924,53.9517133420342
n4035229383,Восточный Экспресс,restaurant,Минск,Октябрьский район,,,n4035229383,53.892133
n3865749075,Снежинка,cafe,Минск,Октябрьский район,,,n3865749075,53.8931059
n1870460800,Буфет,cafe,Минск,Московский район,,,n1870460800,53.8943452
n305682729,Пицца Темпо,cafe,Минск,Ленинский район,,,n305682729,53.8963576
w25325833,,university,Минск,Советский район,улица Веры Хоружей,3А,w25325833,53.9163741558953
n305675782,Аптека №48,pharmacy,Минск,Фрунзенский район,,,n305675782,53.9120915
n4275221793,Черпак,restaurant,Минск,Центральный район,,,n4275221793,53.9057102
n1870460909,Столовая,cafe,Минск,Партизанский район,,,n1870460909,53.8842558
n1244396420,Гараж,cafe,Минск,Московский район,,,n1244396420,53.9059346
n3351855379,Аптека №4,pharmacy,Минск,Первомайский район,,,n3351855379,53.9425507
n2339796742,Лидо,fast_food,Минск,Советский район,,,n2339796742,53.9189284
w379401666,д/с №111,kindergarten,Минск,Советский район,,,w379401666,53.9118475308087
n278463217,Хутка-Смачна,fast_food,Минск,Московский район,,,n278463217,53.9017169
n305674117,№68 Бел Рпо Фармация,pharmacy,Минск,Фрунзенский район,,,n305674117,53.9158431
n305676282,СШ №126,school,Минск,Фрунзенский район,,,n305676282,53.89577
n2567200806,Суши вёсла take away,fast_food,Минск,Фрунзенский район,,,n2567200806,53.9057364
n281078836,МГЛУ,university,Минск,Партизанский район,,,n281078836,53.9072388
w25327027,,university,Минск,Ленинский район,улица Маяковского,123,w25327027,53.8609965017377
n3600891937,,restaurant,Минск,Центральный район,,,n3600891937,53.9212856
w374416745,,kindergarten,Минск,Советский район,,,w374416745,53.9594117335549
n3147897483,,fast_food,Минск,Первомайский район,,,n3147897483,53.9299738
n1101346162,Интеграл,restaurant,Минск,Октябрьский район,,,n1101346162,53.84337
n3144351529,,pharmacy,Минск,Советский район,,,n3144351529,53.9681264
n1630100363,Арка,restaurant,Минск,Первомайский район,,,n1630100363,53.9286739
w388832914,Гараж,cafe,Минск,Московский район,,,w388832914,53.8957313939206
n305675638,Поликлиника №12,pharmacy,Минск,Фрунзенский район,,,n305675638,53.9226368
n281729009,Milano,cafe,Минск,Первомайский район,,,n281729009,53.9128816
n3977682458,Пiва Тут,cafe,Минск,Центральный район,,,n3977682458,53.901955
n3696753878,Буфет,cafe,Минск,Советский район,,,n3696753878,53.9172679
w351726962,СШ №51,school,Минск,Ленинский район,,,w351726962,53.8478706849734
w25393284,,pharmacy,Минск,Фрунзенский район,,,w25393284,53.9203739588008
w330627699,д/с №319,kindergarten,Минск,Фрунзенский район,,,w330627699,53.9007423230651
n305676822,Palermo,cafe,Минск,Октябрьский район,,,n305676822,53.8409901
n3046807184,Институт бизнеса и менеджмента технологий БГУ,university,Минск,Октябрьский район,Московская улица,5,n3046807184,53.8898937
n4120610896,Строится,kindergarten,Минск,Фрунзенский район,улица Матусевича,,n4120610896,53.9190761
n676940122,Сочи,restaurant,Минск,Фрунзенский район,,,n676940122,53.8929471
n2748154253,Аптека №5 Экомаркет,pharmacy,Минск,Московский район,улица Ежи Гедройца,12,n2748154253,53.8510049
w347253563,д/с №120,kindergarten,Минск,Партизанский район,,,w347253563,53.9012962372041
n305682944,Cuba libre,cafe,Минск,Центральный район,улица Кропоткина,93А,n305682944,53.92416
w362191728,"ДЮЦ ""Эврика""",school,Минск,Фрунзенский район,,,w362191728,53.9253924827159
w25387701,,pharmacy,Минск,Октябрьский район,улица Воронянского,50,w25387701,53.8767307260933
n3168487869,Подстанция скорой медицинской помощи,hospital,Минск,Фрунзенский район,,,n3168487869,53.9269378
n305679093,Зелёный Лист,pharmacy,Минск,Октябрьский район,улица Воронянского,3,n305679093,53.8786599
w184268704,Doner King,fast_food,Минск,Фрунзенский район,улица Притыцкого,2б,w184268704,53.9107056285222
n305673955,Наши Аптеки №5,pharmacy,Минск,Московский район,,,n305673955,53.8610863
w331349437,д/с №512,kindergarten,Минск,Центральный район,,,w331349437,53.9314817018042
n3100371806,Аппетинка,cafe,Минск,Советский район,,,n3100371806,53.9189657
n3706896987,,cafe,Минск,Ленинский район,,,n3706896987,53.8600409
n4283679489,Заботливая ,pharmacy,Минск,Советский район,,,n4283679489,53.929412
n3212067411,Мираж,fast_food,Минск,Советский район,,,n3212067411,53.9213227
w351854831,д/с №71,kindergarten,Минск,Советский район,,,w351854831,53.950906367154
n3780581987,Время,cafe,Минск,Октябрьский район,Могилёвская улица,39А,n3780581987,53.8859601
n2602935708,Аптека,pharmacy,Минск,Фрунзенский район,,,n2602935708,53.904351
w25318345,"УЗ ""28-я городская поликлиника""",hospital,Минск,Первомайский район,улица Гинтовта,28,w25318345,53.9506433342042
n3662696997,Авиньон,restaurant,Минск,Центральный район,,,n3662696997,53.9026671
w25388418,Поликлиника ГУ МВД РБ,hospital,Минск,Московский район,улица Мясникова,25А,w25388418,53.8988464853463
n3699874930,Класс,cafe,Минск,Московский район,,,n3699874930,53.8828874
n1736683376,Перчик,cafe,Минск,Ленинский район,,,n1736683376,53.897228
w351734108,д/с №261,kindergarten,Минск,Заводской район,,,w351734108,53.8478442925268
n4130938998,,pharmacy,Минск,Фрунзенский район,,,n4130938998,53.9110837
w226554080,Лицей БГУ,school,Минск,Ленинский район,,,w226554080,53.8967129552071
n1860276068,,hospital,Минск,Партизанский район,,,n1860276068,53.903211
w354591643,д/с №437,kindergarten,Минск,Заводской район,,,w354591643,53.8590693917303
n305676083,№58,pharmacy,Минск,Октябрьский район,,,n305676083,53.8463389
n1495285257,,cafe,Минск,Ленинский район,,,n1495285257,53.8772882
n1943809354,,fast_food,Минск,Московский район,,,n1943809354,53.8554003
n3620732777,Спатканне,cafe,Минск,Фрунзенский район,,,n3620732777,53.9098408
n1394524342,,pharmacy,Минск,Московский район,,,n1394524342,53.8753597
n305680713,Начальная школа №29 («Солнышко»),school,Минск,Ленинский район,Солнечная улица,3,n305680713,53.8639388
n3280242166,Зеленая аптека,pharmacy,Минск,Фрунзенский район,,,n3280242166,53.9126244
n1259166142,,cafe,Минск,Заводской район,,,n1259166142,53.8455383
n3086094885,Белфармация А РУП Аптека №109,pharmacy,Минск,Московский район,улица Сергея Есенина,66,n3086094885,53.857085
n4320942568,Столовая,fast_food,Минск,Заводской район,,,n4320942568,53.8473517
w388832915,Кружка,cafe,Минск,Московский район,,,w388832915,53.8959539063998
w199254341,д/с №441,kindergarten,Минск,Фрунзенский район,,,w199254341,53.925044839134
n305681348,Интерфармакс,pharmacy,Минск,Ленинский район,,,n305681348,53.8992902
n305678475,№105,pharmacy,Минск,Центральный район,,,n305678475,53.9087576
n305685183,Алеан ОДО Аптека №1,pharmacy,Минск,Партизанский район,улица Будённого,23,n305685183,53.88622
w25327584,Теологический институт Кирилла и Мефодия БГУ,university,Минск,Ленинский район,Красноармейская улица,1,w25327584,53.9025545253244
n2542029085,"Аптека N24 ""Зеленый лист""",pharmacy,Минск,Ленинский район,Игуменский тракт,30,n2542029085,53.8404168
w371266097,СШ №197,school,Минск,Первомайский район,,,w371266097,53.9508480870245
w25389868,Автошкола ЦАУК,school,Минск,Октябрьский район,улица Серова,2А,w25389868,53.8416065012542
n3953561459,Мистер Шеф,fast_food,Минск,Московский район,,,n3953561459,53.8755685
n305685367,Сатурн,restaurant,Минск,Партизанский район,,,n305685367,53.8898411
n3946153325,Зелёная Аптека,pharmacy,Минск,Московский район,,,n3946153325,53.8583122
n4280982871,Варадеро,restaurant,Минск,Советский район,,,n4280982871,53.9403031
w380457523,ЦКРОиР Первомайского района,kindergarten,Минск,Первомайский район,,,w380457523,53.9338516375687
n3828473057,CurryTime,fast_food,Минск,Центральный район,,,n3828473057,53.90473
n1595946431,,school,Минск,Партизанский район,,,n1595946431,53.9025117
n455004661,,pharmacy,Минск,Ленинский район,,,n455004661,53.8843018
w25320849,Поликлиника №21,hospital,Минск,Заводской район,улица Филатова,13,w25320849,53.8693527532334
n1618116279,,pharmacy,Минск,Фрунзенский район,Кальварийская улица,24,n1618116279,53.9077201
n305685014,Нордин,pharmacy,Минск,Заводской район,,,n305685014,53.8767575
w379352298,д/с №159,kindergarten,Минск,Партизанский район,,,w379352298,53.8834833665925
n305683928,Нордин,pharmacy,Минск,Партизанский район,,,n305683928,53.8993529
n1764221119,Казино Рояль,restaurant,Минск,Московский район,,,n1764221119,53.8969948
w266832071,д/с №94,kindergarten,Минск,Московский район,,,w266832071,53.8660284771705
w330614500,д/с №271,kindergarten,Минск,Партизанский район,,,w330614500,53.9103549619385
n4252740438,"УЗ ""Городское клиническое патологоанатомическое бюро"", отделение детской патологии (детская прозектура)",hospital,Минск,Октябрьский район,улица Лейтенанта Кижеватова,60,n4252740438,53.8499757
w25390383,,kindergarten,Минск,Московский район,Грушевская улица,65,w25390383,53.8840048494764
w368035763,,college,Минск,Советский район,,,w368035763,53.9500344852711
n443698597,Dom,cafe,Минск,Ленинский район,,,n443698597,53.9024011
n1870460933,Столовая,cafe,Минск,Первомайский район,,,n1870460933,53.9051938
w25326620,,kindergarten,Минск,Центральный район,улица Куйбышева,25А,w25326620,53.9127150106976
w371266086,д/с №86,kindergarten,Минск,Ленинский район,,,w371266086,53.8737882960819
n2524197605,Ной,cafe,Минск,Заводской район,улица Голодеда,32,n2524197605,53.8402796
n2335289611,Аптека,pharmacy,Минск,Фрунзенский район,,,n2335289611,53.9108233
n1834935801,Столовая,fast_food,Минск,Октябрьский район,,,n1834935801,53.8898178
n3282229382,,pharmacy,Минск,Московский район,,,n3282229382,53.8495157
n1462080818,,pharmacy,Минск,Ленинский район,,,n1462080818,53.8387455
w386634569,Детская хореографическая школа искусств № 1,school,Минск,Московский район,,,w386634569,53.872049906559
n305675523,Гимназия №146,school,Минск,Московский район,проспект Газеты Правда,48,n305675523,53.86202
w418119063,,university,Минск,Октябрьский район,,,w418119063,53.8419811558186
w331601806,д/с №371,kindergarten,Минск,Советский район,,,w331601806,53.9368851190514
w352749482,д/с №11,kindergarten,Минск,Заводской район,,,w352749482,53.8712524310885
w25325253,Стоматологическая поликлиника №11,hospital,Минск,Советский район,,,w25325253,53.9337869685914
n768581984,Городской клинический детский психиатрический диспансер,hospital,Минск,Ленинский район,,,n768581984,53.8376309
n3835411609,Знатны пачастунак,cafe,Минск,Центральный район,,,n3835411609,53.9153577
w75423682,д/с №316,kindergarten,Минск,Ленинский район,,,w75423682,53.8378204165293
n305685831,№90,pharmacy,Минск,Заводской район,,,n305685831,53.8846946
w260264672,д/c №487,kindergarten,Минск,Заводской район,,,w260264672,53.8468849311412
w135423486,д/с №338,kindergarten,Минск,Заводской район,,,w135423486,53.8759591659044
n3203301919,Блинная,fast_food,Минск,Советский район,,,n3203301919,53.9236303
n1678709003,Штолле,cafe,Минск,Партизанский район,,,n1678709003,53.9078429
n3949253563,Любимая аптека,pharmacy,Минск,Московский район,,,n3949253563,53.8612029
n4350283220,,hospital,Минск,Московский район,,,n4350283220,53.8833487
n2577090843,Фа-со-ля,restaurant,Минск,Октябрьский район,,,n2577090843,53.867291
w25390384,Музыкальная школа №11,school,Минск,Московский район,5-й Железнодорожный переулок,3А,w25390384,53.8820114819873
n2918674301,Кружки,restaurant,Минск,Ленинский район,,,n2918674301,53.8948711
w83986665,д/с №459,kindergarten,Минск,Заводской район,,,w83986665,53.8893499696038
n305681209,2-я городская детская поликлиника,hospital,Минск,Центральный район,,,n305681209,53.9261142
n560988405,,cafe,Минск,Октябрьский район,,,n560988405,53.884433
w374946394,Гимназия №36,school,Минск,Центральный район,,,w374946394,53.9148080319872
n305679635,Аптека №4,pharmacy,Минск,Октябрьский район,,,n305679635,53.8841749
n305685269,№75,pharmacy,Минск,Советский район,улица Мирошниченко,1,n305685269,53.9588919
n278515046,,pharmacy,Минск,Московский район,,,n278515046,53.9023588
n305687133,Аленфарм-Плюс ОДО Аптека №16,pharmacy,Минск,Первомайский район,улица Гинтовта,30,n305687133,53.95285
w25387457,БГПУ,university,Минск,Московский район,улица Мясникова,5,w25387457,53.9001027363863
n2628617452,Фарммаркет-Плюс ООО Аптека N12,pharmacy,Минск,Советский район,улица Сурганова,47Б,n2628617452,53.9273036
w25327628,БГУ,university,Минск,Ленинский район,улица Карла Маркса,31,w25327628,53.8991279612088
w369000396,Лингвистическая гимназия-колледж №24,school,Минск,Центральный район,,,w369000396,53.9049104234069
n305682735,Gurmans,cafe,Минск,Ленинский район,,,n305682735,53.8974746
n3086343539,Белфармация А РУП Аптека №17,pharmacy,Минск,Первомайский район,улица Макаёнка,17,n3086343539,53.9176996
n978763935,Русские сезоны,restaurant,Минск,Центральный район,,,n978763935,53.911616
n2622463732,Столовая,cafe,Минск,Ленинский район,,,n2622463732,53.8951119
n3647184707,Stolle,cafe,Минск,Центральный район,,,n3647184707,53.9038147
n4007084289,Винил,restaurant,Минск,Заводской район,Партизанский пр-т,117А,n4007084289,53.868343
n1480122273,Sushi House,cafe,Минск,Октябрьский район,,,n1480122273,53.8406099
n281570490,McDonald's,fast_food,Минск,Центральный район,проспект Независимости,23,n281570490,53.9009634
n305676052,№14,pharmacy,Минск,Фрунзенский район,,,n305676052,53.8964337
n305677727,Любава,cafe,Минск,Московский район,,,n305677727,53.8975501
n3782186582,Кофе Саунд,cafe,Минск,Октябрьский район,,,n3782186582,53.8919931
n1858802008,Буфет,fast_food,Минск,Партизанский район,,,n1858802008,53.9034125
w353294135,,kindergarten,Минск,Московский район,,,w353294135,53.8838103733912
r2007829,,school,Минск,Первомайский район,улица Шугаева,19 к1,r2007829,53.9358805541984
n4269792094,Доктор До,pharmacy,Минск,Ленинский район,,,n4269792094,53.8699687
w337003250,д/с №74,kindergarten,Минск,Октябрьский район,,,w337003250,53.8758135840999
n2599747642,Аптека №3,pharmacy,Минск,Московский район,улица Громова,28,n2599747642,53.8526639
w352995566,ЦКРОиР Московского района,kindergarten,Минск,Московский район,,,w352995566,53.8660438986635
n305675439,Белфарм №4,pharmacy,Минск,Фрунзенский район,,,n305675439,53.9275498
w381463371,2-й городской противотуберкулезный диспансер,hospital,Минск,Заводской район,,,w381463371,53.8780678
n305680045,Наше Место,cafe,Минск,Центральный район,,,n305680045,53.9024591
n1483850581,Texas Chicken,fast_food,Минск,Советский район,,,n1483850581,53.9189078
n3899373190,Штолле,cafe,Минск,Ленинский район,,,n3899373190,53.898284
n3142403329,Белфармацыя,pharmacy,Минск,Ленинский район,,,n3142403329,53.8852618
w102130292,д/с №418,kindergarten,Минск,Фрунзенский район,,,w102130292,53.9032942408614
n305685015,№67,pharmacy,Минск,Заводской район,,,n305685015,53.85845
w25393545,БГУ,university,Минск,Московский район,улица Курчатова,1,w25393545,53.8397470891298
w63946272,СШ №104,school,Минск,Центральный район,,,w63946272,53.9337074236112
n305673920,Флорафарм,pharmacy,Минск,Московский район,,,n305673920,53.85833
n305679665,Саквояж,restaurant,Минск,Центральный район,улица Романовская Слобода,26,n305679665,53.9051359
w311250442,д/с №208,kindergarten,Минск,Фрунзенский район,,,w311250442,53.9238091134879
w25387934,35-я городская поликлиника,hospital,Минск,Октябрьский район,улица Серова,15,w25387934,53.8478564836362
n3790024095,L'Isola della pizza,cafe,Минск,Октябрьский район,улица Лейтенанта Кижеватова,72 к2,n3790024095,53.8468631
w25326070,Dental Clinic,hospital,Минск,Ленинский район,,,w25326070,53.8877415
n698364136,Хутка-смачна,fast_food,Минск,Первомайский район,,,n698364136,53.9344428
n2613408871,7 комнат,restaurant,Минск,Центральный район,проспект Машерова,19,n2613408871,53.9161657
w352037538,д/с №288,kindergarten,Минск,Фрунзенский район,,,w352037538,53.9053789669325
n1719208393,Гимназия №40,school,Минск,Ленинский район,,,n1719208393,53.8381524
w358305319,д/с №468,kindergarten,Минск,Октябрьский район,,,w358305319,53.8821165336687
n4329813447,ПЛОВБЕРРИ,fast_food,Минск,Первомайский район,улица Макаёнка,23А,n4329813447,53.9169173
n1259621877,,fast_food,Минск,Фрунзенский район,,,n1259621877,53.9093172
w25387717,Центр реабилитации «Ева»,hospital,Минск,Октябрьский район,,,w25387717,53.8762815714199
n4208748990,Чайная комната ,cafe,Минск,Советский район,,,n4208748990,53.9111284
w168501029,СШ №36,school,Минск,Ленинский район,,,w168501029,53.8556076777428
n3902025321,Кофеварка,cafe,Минск,Советский район,,,n3902025321,53.9569421
n4163500790,белфармация,pharmacy,Минск,Московский район,,,n4163500790,53.848953
n281570496,Bistro de Luxe,cafe,Минск,Центральный район,,,n281570496,53.9006989
n305685776,Аптека №55,pharmacy,Минск,Первомайский район,,,n305685776,53.9468875
